1.753981 20 10
1,1,19172
2,1,24567
3,1,19535
4,1,22774
5,1,18457
6,1,22573
7,1,23864
8,1,22547
9,1,23561
10,1,23454
11,1,22722
12,1,21420
13,1,17386
14,1,24891
15,1,21401
16,1,17749
17,1,21684
18,1,20920
19,1,13998
20,1,20574
1,2,19370
2,2,19673
3,2,15682
4,2,21739
5,2,18410
6,2,22693
7,2,22463
8,2,21591
9,2,23544
10,2,22713
11,2,21550
12,2,19725
13,2,17288
14,2,22213
15,2,22942
16,2,16917
17,2,20582
18,2,12889
19,2,14920
20,2,21342
1,3,20629
2,3,20314
3,3,17883
4,3,22466
5,3,18878
6,3,22973
7,3,13267
8,3,23026
9,3,21952
10,3,22887
11,3,21931
12,3,14850
13,3,16058
14,3,23789
15,3,22727
16,3,17166
17,3,20238
18,3,13227
19,3,13703
20,3,20719
1,4,20121
2,4,20773
3,4,17858
4,4,20044
5,4,18530
6,4,22875
7,4,13386
8,4,19902
9,4,16943
10,4,20594
11,4,22024
12,4,14671
13,4,17004
14,4,20574
15,4,20254
16,4,16505
17,4,16639
18,4,13359
19,4,14662
20,4,21592
1,5,18492
2,5,17652
3,5,18884
4,5,12851
5,5,17521
6,5,24073
7,5,13228
8,5,20083
9,5,17501
10,5,21677
11,5,20933
12,5,12808
13,5,17438
14,5,18139
15,5,16234
16,5,17711
17,5,15491
18,5,13563
19,5,14997
20,5,21606
1,6,19171
2,6,19887
3,6,17359
4,6,14787
5,6,17721
6,6,22894
7,6,13174
8,6,22542
9,6,16552
10,6,13875
11,6,19815
12,6,15020
13,6,15333
14,6,19810
15,6,15483
16,6,16065
17,6,16590
18,6,12544
19,6,15542
20,6,20927
1,7,19753
2,7,15265
3,7,17670
4,7,14051
5,7,16776
6,7,21219
7,7,12637
8,7,20419
9,7,17195
10,7,16367
11,7,21913
12,7,14610
13,7,14728
14,7,20061
15,7,14567
16,7,14562
17,7,17050
18,7,13816
19,7,15617
20,7,13919
1,8,12523
2,8,14654
3,8,17412
4,8,13557
5,8,13572
6,8,24712
7,8,13009
8,8,21421
9,8,17090
10,8,13634
11,8,14339
12,8,15017
13,8,13041
14,8,18927
15,8,14306
16,8,15373
17,8,16295
18,8,12174
19,8,14072
20,8,13108
1,9,12417
2,9,14434
3,9,19012
4,9,14434
5,9,12883
6,9,23509
7,9,16781
8,9,19613
9,9,15791
10,9,14595
11,9,14618
12,9,15289
13,9,13629
14,9,18875
15,9,14983
16,9,13370
17,9,12654
18,9,13841
19,9,14802
20,9,14222
1,10,13954
2,10,14293
3,10,16565
4,10,14465
5,10,12679
6,10,24695
7,10,12697
8,10,20004
9,10,16315
10,10,14936
11,10,13928
12,10,15494
13,10,13449
14,10,16351
15,10,13357
16,10,12305
17,10,12050
18,10,12798
19,10,15529
20,10,13351
